multiTimeline
month,search,unemployment
2016-01,0,4.99
2016-02,0,5.1
2016-03,0,5.12
2016-04,0,5.1
2016-05,0,
2016-06,0,5.2
2016-07,0,
2016-08,0,5.1
2016-09,0,5
2016-10,0,5
2016-11,0,
2016-12,0,
2017-01,73,
2017-02,0,5
2017-03,63,
2017-04,0,5
2017-05,85,5
2017-06,61,5
2017-07,0,
2017-08,52,5
2017-09,0,5
2017-10,0,5
2017-11,0,4.9
2017-12,0,5
2018-01,0,4.96
2018-02,0,5
2018-03,0,5.06
2018-04,56,4.9
2018-05,51,4.8
2018-06,80,4.8
2018-07,0,5.1
2018-08,0,5
2018-09,0,4.9
2018-10,0,4.9
2018-11,0,4.8
2018-12,44,4.9
2019-01,0,5.1
2019-02,0,5.3
2019-03,0,5.2
2019-04,0,5
2019-05,0,5
2019-06,0,5.1
2019-07,38,5.3
2019-08,0,5.2
2019-09,0,5.2
2019-10,0,5.1
2019-11,50,5.1
2019-12,0,5.2
2020-01,0,5.3
2020-02,0,6.2
2020-03,62,5.9
2020-04,0,6
2020-05,63,5.9
2020-06,0,5.7
2020-07,49,5.7
2020-08,0,5.6
2020-09,0,5.4
2020-10,0,5.3
2020-11,57,5.2
2020-12,0,5.2
2021-01,0,5.4
2021-02,0,5.5
2021-03,73,5.3
2021-04,52,5.1
2021-05,65,5
2021-06,54,5
2021-07,39,5.1
2021-08,44,5.1
2021-09,47,4.9
2021-10,47,4.9
2021-11,38,5
2021-12,53,5.1
2022-01,52,5.3
2022-02,66,5.5
2022-03,37,5.8
2022-04,50,6.1
2022-05,57,5.9
2022-06,24,5.5
2022-07,35,5.4
2022-08,55,5.3
2022-09,100,5.5
2022-10,46,5.5
2022-11,66,5.7
2022-12,30,5.5
2023-01,34,5.5
2023-02,36,5.6
2023-03,29,5.3
2023-04,24,5.2
2023-05,44,5.2
2023-06,40,5.2
