"CECC.Record.Number","detention_length_base","censored_base","detention_length_extra","censored_extra","dyear","male","age","bigcity","serious_issue","mongol","tibetan","uyghur","other","buddhist","christian","cultist","falun_gong","muslim","religious_leader","student","activist_ngo","journalist_publishing","dangerous_professions"
"2019-00105",2.95692742385912,1,2.95692742385912,1,2023,1,78.8821917808219,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00110",3.58116765778493,1,3.58116765778493,1,2023,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-00387",3.58116765778493,1,3.58116765778493,1,2023,1,55.4219178082192,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00109",3.64687715609291,1,0.492821237309853,0,2023,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00114",3.6797319052469,1,3.6797319052469,1,2023,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00111",0.328547491539902,0,0.328547491539902,0,2023,1,64.9205479452055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00108",4.92821237309853,1,4.92821237309853,1,2023,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00084",4.99392187140651,1,4.99392187140651,1,2023,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00105",4.66537437986661,0,4.66537437986661,0,2023,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00068",5.3553241121004,1,5.3553241121004,1,2023,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-00437",0.361402240693892,0,0.361402240693892,0,2023,1,NA,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"2023-00052",0.0657094983079804,0,0.0657094983079804,0,2023,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"2023-00063",6.73522357656799,1,6.73522357656799,1,2023,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00050",6.73522357656799,1,6.73522357656799,1,2023,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00051",6.76807832572198,1,6.76807832572198,1,2023,1,28.9780821917808,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005-00232",NA,1,NA,1,2023,1,59.586301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00056",NA,1,NA,1,2023,0,27.586301369863,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00099",NA,1,NA,1,2023,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00057",7.12948056641588,1,7.12948056641588,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00033",7.26089956303184,1,7.26089956303184,1,2022,0,26.5232876712329,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00037",7.29375431218583,1,7.29375431218583,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00032",7.42517330880179,1,7.42517330880179,1,2022,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00035",7.42517330880179,1,7.42517330880179,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00036",7.42517330880179,1,7.42517330880179,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00039",7.42517330880179,1,7.42517330880179,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00031",7.42517330880179,1,7.42517330880179,1,2022,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00030",7.42517330880179,1,7.42517330880179,1,2022,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00055",7.42517330880179,1,7.42517330880179,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00040",7.42517330880179,1,7.42517330880179,1,2022,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00045",7.62230180372573,1,7.62230180372573,1,2022,0,19.4931506849315,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2023-00044",7.85228504780366,1,7.85228504780366,1,2022,0,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00042",7.85228504780366,1,7.85228504780366,1,2022,0,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00041",7.85228504780366,1,7.85228504780366,1,2022,0,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00043",7.85228504780366,1,7.85228504780366,1,2022,0,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00004",7.88513979695765,1,7.88513979695765,1,2022,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00201",7.88513979695765,1,7.88513979695765,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00206",7.88513979695765,1,7.88513979695765,1,2022,1,28.4712328767123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00205",NA,1,NA,1,2022,0,38.5013698630137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00204",8.01655879357361,1,8.01655879357361,1,2022,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00012",8.0494135427276,1,8.0494135427276,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00013",8.08226829188159,1,8.08226829188159,1,2022,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00064",8.11512304103558,1,8.11512304103558,1,2022,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00028",8.50938003088346,1,8.50938003088346,1,2022,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2016-00027",0.328547491539902,0,0.328547491539902,0,2022,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00083",9.49502250550317,1,9.49502250550317,1,2022,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00176",9.59358675296514,1,9.59358675296514,1,2022,1,48.7643835616438,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00166",NA,1,NA,1,2022,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00054",NA,1,NA,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
